,Unnamed: 0,movie,lifetime_collection,opening_day,end_of_opening_weekend,end_of_week_1,end_of_week_2,end_of_week_3,end_of_week_4,day_1,day_2,day_3,day_4,day_5,day_6,day_7,day_8,day_9,day_10,day_11,day_12,day_13,day_15,day_18,day_19,day_22,day_29,day_14,day_16,day_17,day_20,day_21,day_23,day_24,day_25,day_26,day_27,day_28,day_30,end_of_opening_week,year
356,526,JD,0.001,,,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2017.0
357,528,Jaane Kyun De Yaaron,0.025,,,0.025,0.0,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
358,529,Jab Harry Met Sejal,64.33,15.25,45.75,59.65,64.0,64.26,64.3,15.25,15.0,15.5,7.15,2.9,2.2,1.75,0.75,1.1,1.0,1.4,0.0,0.0,0.06,0.05,0.0,0.04,0.02,0.0,0.07,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
359,530,Jacqueline I Am Coming,0.04,0.01,0.03,0.04,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
360,531,Jahangir National University,0.25,,,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
361,535,Jai Gangaajal,32.63,5.5,17.7,25.2,31.4,32.4,32.55,5.5,6.25,5.95,2.9,4.6,0.0,0.0,0.96,1.22,1.42,2.6,0.0,0.0,1.0,0.0,0.0,0.15,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
362,536,Jai Ho,116.0,17.75,60.68,88.78,0.0,0.0,0.0,17.75,16.68,26.25,9.5,7.3,5.8,5.5,3.4,4.5,5.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
363,537,Jai Mummy Di,2.51,0.45,1.77,2.5,2.51,0.0,0.0,0.45,0.55,0.77,0.2,0.2,0.18,0.15,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
364,538,Jaihind,1.56,0.17,0.47,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2012.0
365,539,Jailer,5.35,0.35,1.03,2.08,5.35,0.0,0.0,0.35,0.15,0.23,0.3,0.21,0.39,0.25,0.2,0.25,0.4,0.6,0.3,0.3,0.2,0.3,0.1,0.08,0.0,0.25,0.1,0.2,0.1,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2023.0
366,539,Jailer,5.35,0.35,1.03,2.08,5.35,0.0,0.0,0.35,0.15,0.23,0.3,0.21,0.39,0.25,0.2,0.25,0.4,0.6,0.3,0.3,0.2,0.3,0.1,0.08,0.0,0.25,0.1,0.2,0.1,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2023.0
367,540,Jal,0.55,0.1,0.5,0.55,0.0,0.0,0.0,0.1,0.4,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2014.0
